*/	WT1	WT2	WT3	KO1	KO2	KO3
ENSG00000116983	0	0	0	0	0	0
ENSG00000084072	772	945	659	767	622	652
ENSG00000225333	0	0	0	0	0	0
ENSG00000252413	0	0	0	0	0	0
ENSG00000116985	180	226	164	185	183	209
ENSG00000198754	23	25	10	25	28	9
ENSG00000285905	0	0	0	0	0	0
ENSG00000261798	6	13	5	9	16	4
ENSG00000229213	0	0	0	0	0	0
ENSG00000284719	0	0	0	0	0	0
ENSG00000284678	5	0	0	0	0	0
ENSG00000043514	759	701	515	682	729	547
ENSG00000202222	0	0	0	0	0	0
ENSG00000116990	118	141	87	64	27	69
ENSG00000236546	0	0	2	0	0	0
ENSG00000207356	0	0	0	0	0	0
ENSG00000168389	52	28	19	3	3	5
ENSG00000228477	1	3	3	1	2	3
ENSG00000131236	5817	5465	3869	6901	5564	5505
ENSG00000131238	3799	4216	2893	6071	4841	4739
ENSG00000226745	0	0	0	0	0	0
ENSG00000117000	1845	1870	1424	1142	748	794
ENSG00000207508	0	2	0	0	0	0
ENSG00000188800	0	1	0	0	0	0
ENSG00000259943	100	100	97	181	186	122
ENSG00000084073	1998	2649	2120	2416	1798	1690
ENSG00000231296	0	0	0	0	0	0
ENSG00000049089	675	755	535	871	1413	971
ENSG00000227311	1	0	0	1	1	2
ENSG00000084070	1763	1708	1187	2020	1591	1609
ENSG00000213172	0	0	0	0	0	0
ENSG00000284677	0	0	1	0	0	0
ENSG00000187801	407	361	267	485	338	358
ENSG00000260920	692	619	440	283	172	164
ENSG00000279667	8	6	6	2	1	3
ENSG00000187815	289	355	237	197	194	177
ENSG00000238287	41	35	22	18	29	24
ENSG00000164002	471	497	338	450	486	367
ENSG00000227278	2	0	1	0	0	0
ENSG00000238186	3	1	2	1	0	0
ENSG00000117010	311	416	334	200	188	131
ENSG00000286838	0	0	0	0	0	1
ENSG00000236505	0	0	0	0	0	1
ENSG00000233910	0	0	0	0	0	0
ENSG00000117016	123	155	103	470	405	402
ENSG00000287743	0	0	0	0	0	0
ENSG00000237899	1	0	1	1	6	4
ENSG00000272145	50	22	26	39	108	20
ENSG00000066136	2689	2982	2074	2258	2164	2054
ENSG00000198974	0	0	0	0	0	0
ENSG00000207962	2	0	0	0	1	0
ENSG00000117013	7	7	2	2	2	0
ENSG00000264582	0	0	0	0	0	0
ENSG00000179862	226	302	237	218	146	240
ENSG00000229528	0	0	0	0	0	0
ENSG00000228940	0	3	0	1	5	0
ENSG00000286668	0	2	0	0	0	0
ENSG00000233118	0	0	0	0	0	0
ENSG00000171793	2020	2049	1323	3578	3402	2743
ENSG00000281207	18	23	18	15	61	9
ENSG00000171790	66	54	30	24	34	15
ENSG00000010803	5117	4715	3212	4260	3097	3240
ENSG00000215893	0	0	0	0	0	0
ENSG00000287400	0	0	0	1	2	0
ENSG00000235358	7	11	1	6	6	2
ENSG00000213987	0	0	0	0	0	0
ENSG00000286640	0	0	0	0	0	0
ENSG00000204060	3	2	1	0	0	3
ENSG00000229901	0	0	0	0	0	0
ENSG00000252563	0	0	0	0	0	0
ENSG00000127129	0	1	1	0	0	0
ENSG00000127124	1	6	1	1	0	4
ENSG00000230881	0	0	0	0	0	0
ENSG00000230638	0	0	0	0	0	0
ENSG00000284895	0	0	0	0	0	0
ENSG00000287587	1	0	0	0	0	0
ENSG00000227538	0	0	0	0	0	0
ENSG00000228776	0	0	0	0	0	0
ENSG00000044012	0	0	0	0	0	0
ENSG00000197273	4	0	1	2	0	1
ENSG00000198815	2130	2141	1463	2039	1693	1442
ENSG00000227527	0	0	0	0	0	0
ENSG00000177181	221	311	213	302	279	301
ENSG00000235002	0	0	0	0	0	0
ENSG00000066185	8	4	4	4	2	0
ENSG00000127125	1456	1788	1228	787	757	641
ENSG00000186409	96	51	48	30	46	29
ENSG00000230116	0	0	0	0	0	0
ENSG00000236876	0	0	0	0	0	0
ENSG00000200254	0	0	0	0	0	0
ENSG00000236180	0	0	0	0	0	0
ENSG00000171960	601	641	463	1263	1237	1058
ENSG00000285728	7	11	6	4	3	6
ENSG00000234917	3	7	3	2	8	3
ENSG00000065978	35879	34177	22412	34092	30170	28532
ENSG00000164007	9	21	20	54	58	50
ENSG00000117385	5340	4183	2780	3137	2838	2740
ENSG00000164008	82	78	53	177	134	159
ENSG00000283580	0	0	0	0	0	0
ENSG00000228452	0	0	0	0	0	0
ENSG00000274386	7	16	8	6	4	0
ENSG00000177868	857	886	623	602	531	555
ENSG00000164010	286	270	172	254	232	220
ENSG00000228192	96	129	87	119	162	97
ENSG00000164011	348	496	315	334	438	232
ENSG00000233708	0	0	0	0	0	0
ENSG00000237090	0	0	0	0	0	0
ENSG00000225099	0	0	0	0	0	0
ENSG00000117394	8122	10342	7195	20295	16853	18238
ENSG00000284138	2	1	1	1	2	1
ENSG00000227533	17	22	18	24	19	18
ENSG00000283973	16	15	11	17	17	10
ENSG00000207256	0	0	0	1	0	0
ENSG00000283136	0	0	0	0	0	0
ENSG00000277513	0	0	0	0	0	0
ENSG00000186973	31	49	26	41	29	14
ENSG00000117395	3208	2986	1983	3773	3914	3235
ENSG00000284410	0	0	0	0	0	0
ENSG00000243710	5	9	10	2	6	2
ENSG00000199240	0	0	0	0	0	0
ENSG00000179178	79	52	40	2	2	6
ENSG00000253313	95	73	65	23	15	13
ENSG00000066056	2	0	2	0	0	0
ENSG00000117400	11	2	5	3	2	3
ENSG00000287113	2	0	2	0	2	0
ENSG00000234694	5	10	7	3	7	5
ENSG00000117399	1001	1754	1234	4817	5035	4232
ENSG00000066322	2382	2382	1586	1897	1398	1528
ENSG00000283836	0	0	0	0	0	0
ENSG00000159479	3157	2449	1700	1808	1376	1376
ENSG00000229431	0	0	1	1	0	0
ENSG00000198198	2800	2621	1753	1430	1796	1135
ENSG00000229372	0	1	0	2	0	0
ENSG00000274975	0	0	0	0	0	0
ENSG00000178922	0	3	0	0	0	0
ENSG00000229348	11	2	3	2	0	0
ENSG00000142949	7487	8844	6309	9345	6706	8442
ENSG00000066135	1157	1294	880	1097	720	927
ENSG00000284989	0	0	0	0	0	0
ENSG00000236200	15	21	12	33	62	20
ENSG00000126091	55	68	38	33	66	14
ENSG00000229444	0	0	0	0	0	0
ENSG00000283414	0	0	0	0	0	0
ENSG00000233674	0	0	0	2	0	0
ENSG00000283477	0	0	0	0	0	0
ENSG00000224751	0	0	0	0	0	0
ENSG00000117407	26	26	9	6	9	9
ENSG00000237950	56	61	39	15	44	19
ENSG00000288573	7	17	10	5	21	10
ENSG00000117408	1205	1297	859	1087	1195	947
ENSG00000285649	3	1	1	8	5	2
ENSG00000132768	3466	3613	2508	2231	2499	1966
ENSG00000117410	4730	4585	3157	2973	3105	2707
ENSG00000117411	2980	2920	2090	2681	2796	2568
ENSG00000159214	49	68	42	44	97	66
ENSG00000196517	2544	2370	1754	2047	1428	1660
ENSG00000230615	7	9	3	6	7	7
ENSG00000227163	0	0	0	0	0	0
ENSG00000271647	4	1	0	1	0	0
ENSG00000239560	0	0	0	0	0	0
ENSG00000171872	0	0	0	0	0	0
ENSG00000233514	0	1	0	0	2	3
ENSG00000283039	2	1	2	4	2	3
ENSG00000226804	0	0	0	0	0	0
ENSG00000200171	0	0	0	0	0	0
ENSG00000238037	0	0	0	0	0	0
ENSG00000227994	0	0	0	0	0	0
ENSG00000271329	1	1	2	0	0	0
ENSG00000178028	1426	1690	1022	1192	1784	943
ENSG00000117419	1356	1586	1051	1456	1185	1170
ENSG00000233602	2	1	1	3	1	1
ENSG00000199385	0	0	0	0	0	0
ENSG00000187147	3412	3351	2420	2452	2112	2045
ENSG00000263381	0	0	0	0	0	0
ENSG00000126106	452	619	425	517	382	453
ENSG00000198520	3	10	4	2	4	1
ENSG00000199377	0	0	0	0	0	0
ENSG00000200169	0	0	2	0	1	0
ENSG00000142945	616	898	663	4214	4157	3492
ENSG00000225721	10	48	34	24	14	9
ENSG00000142937	91199	86633	58068	66439	43296	53965
ENSG00000264294	0	0	0	0	0	0
ENSG00000200913	3	13	7	12	35	14
ENSG00000202031	0	0	1	0	0	0
ENSG00000207421	0	0	0	0	0	0
ENSG00000281859	0	0	0	0	0	0
ENSG00000234093	3	3	0	2	2	5
ENSG00000142959	75	100	46	81	75	77
ENSG00000173846	875	936	594	328	382	299
ENSG00000188396	2	3	0	0	0	1
ENSG00000222009	388	390	270	82	129	57
ENSG00000117425	106	113	99	64	120	47
ENSG00000202444	0	0	0	0	0	0
ENSG00000226499	2	0	4	1	0	0
ENSG00000070785	730	785	514	1296	987	1042
ENSG00000253039	0	0	0	0	0	0
ENSG00000229815	0	0	0	0	0	0
ENSG00000232369	0	0	0	0	0	0
ENSG00000268949	0	0	0	0	0	0
ENSG00000126107	3135	2811	1859	1366	1415	1104
ENSG00000126088	3502	3751	2430	3620	3902	2911
ENSG00000162415	946	960	652	1342	1370	949
ENSG00000234315	0	0	0	0	0	0
ENSG00000281912	30	54	39	20	30	26
ENSG00000186603	0	0	0	0	0	0
ENSG00000132781	49	48	34	31	42	24
ENSG00000288208	0	0	0	0	0	0
ENSG00000132773	1126	1269	869	1285	1301	954
ENSG00000070759	485	371	217	398	226	348
ENSG00000236872	0	0	0	0	0	0
ENSG00000280670	349	384	279	400	396	222
ENSG00000132763	703	835	498	617	527	474
ENSG00000117450	20950	17429	12004	28286	25508	23263
ENSG00000234379	0	0	0	0	0	0
ENSG00000117448	5795	5447	3776	4238	3491	3492
ENSG00000281133	0	1	0	3	3	1
ENSG00000280836	0	2	0	4	2	1
ENSG00000132780	6722	7603	5134	17110	16701	14427
ENSG00000281112	0	0	0	0	0	0
ENSG00000281825	0	0	0	0	0	0
ENSG00000159588	159	92	72	34	52	18
ENSG00000159592	6419	6506	4766	4571	3554	3329
ENSG00000225447	4	5	2	3	1	2
ENSG00000234329	28	24	9	5	12	7
ENSG00000159596	2141	2114	1522	1491	1059	1142
ENSG00000197429	95	168	143	272	222	195
ENSG00000230896	29	48	36	23	13	24
ENSG00000236111	0	0	0	0	0	0
ENSG00000086015	3884	4189	2777	2721	2663	2414
ENSG00000232467	0	1	0	0	0	0
ENSG00000117461	106	139	108	173	102	133
ENSG00000278139	0	0	0	0	0	0
ENSG00000226957	0	0	0	0	0	0
ENSG00000233114	0	0	0	0	0	0
ENSG00000227857	0	2	0	0	0	0
ENSG00000117472	56	50	30	14	20	12
ENSG00000250719	0	0	0	0	0	0
ENSG00000085998	2129	2349	1510	1818	1804	1553
ENSG00000171357	0	4	2	0	0	0
ENSG00000085999	386	567	387	1935	2605	1645
ENSG00000132128	2826	3641	2570	2330	1954	2027
ENSG00000173660	4222	4542	3185	3403	3214	3082
ENSG00000117481	1101	1070	776	1148	842	878
ENSG00000225779	0	1	0	0	0	0
ENSG00000117480	574	702	450	433	689	419
ENSG00000232022	3	1	0	0	0	0
ENSG00000224863	0	0	0	0	0	0
ENSG00000197587	0	1	0	0	0	0
ENSG00000282881	0	0	0	0	0	0
ENSG00000269956	0	0	0	0	0	0
ENSG00000162456	0	0	0	0	0	0
ENSG00000079277	1623	1633	1093	969	1061	757
ENSG00000142961	154	153	79	67	62	61
ENSG00000123472	1394	1536	1071	2099	1802	1669
ENSG00000233647	1	0	1	1	1	0
ENSG00000186118	0	0	0	0	1	0
ENSG00000228237	0	0	0	0	0	0
ENSG00000159658	1549	1453	1097	1360	1401	1069
ENSG00000236476	0	0	0	0	0	0
ENSG00000142973	0	0	0	0	0	0
ENSG00000154198	0	0	0	0	0	0
ENSG00000238145	0	0	0	0	0	0
ENSG00000187048	0	0	0	0	0	0
ENSG00000259832	0	0	0	0	0	0
ENSG00000261196	0	0	0	0	0	0
ENSG00000261593	0	0	0	0	0	0
ENSG00000261290	0	0	0	0	0	0
ENSG00000186377	0	0	0	0	0	0
ENSG00000186160	0	0	0	0	0	0
ENSG00000225154	0	0	0	0	0	0
ENSG00000225506	0	0	0	1	1	0
ENSG00000162365	0	0	0	0	0	0
ENSG00000225514	0	0	0	0	0	0
ENSG00000224805	0	0	1	1	2	0
ENSG00000162366	1	3	3	6	0	5
ENSG00000162367	1	0	0	0	0	0
ENSG00000226252	0	0	0	0	0	0
ENSG00000123473	346	618	419	1387	1187	1046
ENSG00000162368	3511	3077	2459	4058	2953	2662
ENSG00000225762	1	1	2	4	2	0
ENSG00000186790	0	0	0	0	0	1
ENSG00000237424	81	111	51	84	102	66
ENSG00000186564	2	13	9	10	0	10
ENSG00000271355	0	0	0	0	0	0
ENSG00000229554	0	0	0	0	0	0
ENSG00000227883	0	0	0	0	0	0
ENSG00000227947	0	0	0	0	0	0
ENSG00000269113	0	0	0	0	0	0
ENSG00000223814	0	0	0	0	0	0
ENSG00000225028	0	0	0	0	0	0
ENSG00000226133	0	0	0	0	0	0
ENSG00000231413	0	0	0	0	0	0
ENSG00000237180	0	0	0	0	0	0
ENSG00000242267	2	0	0	0	0	0
ENSG00000279096	0	0	0	0	0	0
ENSG00000223720	0	0	0	0	0	0
ENSG00000117834	1079	1316	901	1870	2000	1495
ENSG00000272491	3	7	2	0	0	0
ENSG00000279214	0	0	0	0	0	0
ENSG00000132122	39	88	65	46	35	35
ENSG00000224986	0	0	0	0	0	0
ENSG00000206700	0	0	0	0	0	0
ENSG00000235105	0	0	0	7	2	3
ENSG00000223175	0	0	0	0	0	0
ENSG00000232514	0	0	0	0	0	0
ENSG00000186094	0	0	0	0	0	0
ENSG00000287661	0	0	0	0	0	0
ENSG00000162373	0	0	0	0	0	0
ENSG00000286597	0	0	0	0	0	0
ENSG00000229846	0	0	0	0	0	0
ENSG00000230114	0	0	0	0	0	0
ENSG00000225623	0	0	0	0	0	0
ENSG00000237478	0	0	0	0	0	0
ENSG00000215887	0	0	0	0	0	0
ENSG00000279324	0	0	0	0	0	0
ENSG00000233595	0	0	0	0	0	0
ENSG00000162374	0	0	0	0	0	0
ENSG00000230828	0	0	0	0	0	0
ENSG00000237337	0	0	0	0	0	0
ENSG00000233407	0	0	0	0	0	0
ENSG00000284696	0	0	0	0	0	0
ENSG00000284645	0	0	0	0	0	0
ENSG00000234080	0	0	0	0	0	0
ENSG00000229316	0	0	0	0	0	0
ENSG00000225671	0	0	0	0	0	0
ENSG00000142700	0	0	0	1	0	1
ENSG00000284700	0	0	0	0	0	0
ENSG00000185104	1529	1491	1001	2210	1587	1897
ENSG00000225767	0	0	0	0	0	0
ENSG00000207194	0	0	0	0	0	0
ENSG00000230585	0	0	0	0	0	0
ENSG00000237130	0	0	0	0	0	0
ENSG00000123080	54	98	83	432	403	427
ENSG00000265538	0	0	0	0	0	0
ENSG00000275816	0	0	0	0	0	0
ENSG00000204006	0	0	0	0	0	0
ENSG00000200262	0	0	0	0	0	0
ENSG00000213478	0	0	0	0	0	0
ENSG00000203356	1	3	1	2	1	0
ENSG00000123091	1157	1279	1210	863	658	570
ENSG00000233406	1	0	1	0	1	0
ENSG00000236434	0	0	0	0	0	0
ENSG00000085831	67	36	33	3	1	3
ENSG00000261664	0	0	1	0	0	0
ENSG00000085832	1652	1558	1134	1489	1125	1070
ENSG00000232027	0	0	0	0	0	0
ENSG00000206595	0	0	0	0	0	0
ENSG00000238140	0	0	0	0	0	0
ENSG00000227070	19	16	10	11	15	10
ENSG00000252032	0	0	0	0	0	0
ENSG00000227742	0	0	0	1	0	0
ENSG00000117859	5524	5027	3576	6485	4645	4888
ENSG00000236973	0	0	0	0	0	0
ENSG00000232846	3	0	0	0	0	0
ENSG00000212624	0	0	0	0	0	0
ENSG00000078618	5250	5496	3774	5402	4362	4314
ENSG00000266993	26	21	13	6	14	3
ENSG00000272175	13	6	2	0	0	0
ENSG00000283899	0	0	0	0	0	0
ENSG00000230604	0	0	0	0	0	0
ENSG00000169213	637	378	291	172	120	148
ENSG00000200839	0	0	0	0	0	0
ENSG00000229032	0	0	0	0	0	0
ENSG00000264613	0	0	0	0	0	0
ENSG00000117862	113	148	118	262	219	252
ENSG00000285839	0	0	0	0	0	0
ENSG00000198841	245	278	210	150	122	110
ENSG00000223390	0	0	0	0	0	1
ENSG00000228369	0	0	0	0	0	0
ENSG00000134717	1807	2070	1692	2627	1854	1884
ENSG00000157077	714	854	654	914	742	794
ENSG00000241745	0	0	0	0	0	0
ENSG00000228407	0	0	0	0	0	0
ENSG00000223429	0	0	0	0	0	0
ENSG00000224255	0	0	0	0	0	0
ENSG00000236004	0	0	0	0	0	0
ENSG00000237663	0	0	0	0	0	0
ENSG00000213735	0	0	0	0	0	0
ENSG00000154222	1568	1670	1179	704	836	597
ENSG00000272100	4	7	4	2	2	1
ENSG00000287078	6	2	0	3	0	3
ENSG00000224680	3	2	2	0	1	0
ENSG00000085840	281	374	259	1855	1665	1569
ENSG00000134748	1944	2090	1382	2897	2468	2191
ENSG00000134744	2850	2996	2043	3068	2795	2224
ENSG00000272371	0	0	0	0	1	0
ENSG00000236290	0	0	0	0	0	0
ENSG00000116157	129	162	120	151	121	169
ENSG00000182183	0	0	0	0	0	0
ENSG00000162377	2544	3422	2420	2591	2224	2102
ENSG00000233664	0	1	0	0	0	0
ENSG00000239640	0	0	0	0	0	0
ENSG00000162378	280	356	325	494	386	381
ENSG00000252018	0	0	0	0	0	0
ENSG00000228929	2	2	1	4	2	1
ENSG00000206627	0	0	0	0	0	0
ENSG00000203995	0	0	0	1	0	0
ENSG00000242391	0	0	0	0	0	0
ENSG00000121310	2216	2375	1516	1262	2259	972
ENSG00000230953	0	0	0	0	0	0
ENSG00000231866	0	0	0	0	0	0
ENSG00000116171	2350	2516	1801	2063	1970	1655
ENSG00000264834	0	0	0	0	0	0
ENSG00000266188	0	0	0	0	0	0
ENSG00000265815	0	0	0	0	0	0
ENSG00000237279	0	0	0	0	0	0
ENSG00000236360	1	3	0	4	0	2
ENSG00000226147	0	0	0	0	0	0
ENSG00000174348	0	0	5	0	0	0
ENSG00000232993	0	0	0	0	0	0
ENSG00000227644	0	0	0	0	0	0
ENSG00000162383	200	198	122	10	23	15
ENSG00000235563	14	5	5	0	1	0
ENSG00000277397	0	1	0	0	0	0
ENSG00000157184	819	830	602	873	750	704
ENSG00000236723	31	21	21	14	8	11
ENSG00000162384	1494	1436	1032	975	1055	836
ENSG00000259818	1	0	0	0	0	0
ENSG00000162385	1790	1616	1204	1897	1392	1462
ENSG00000226754	28	17	16	10	5	6
ENSG00000157193	1145	1456	972	2372	2415	1805
ENSG00000234578	0	0	0	0	0	0
ENSG00000228838	0	0	0	0	0	1
ENSG00000232762	0	0	0	0	0	0
ENSG00000225675	0	5	0	1	3	3
ENSG00000285954	0	0	0	0	0	1
ENSG00000226938	0	0	0	0	0	0
ENSG00000230138	0	0	0	0	0	0
ENSG00000236253	0	0	0	0	0	0
ENSG00000288527	0	0	0	0	0	0
ENSG00000143006	0	0	0	0	0	0
ENSG00000174332	0	0	1	0	0	1
ENSG00000239007	0	0	0	0	0	0
ENSG00000058804	1318	1846	1262	4147	3470	3127
ENSG00000201003	0	0	0	0	0	0
ENSG00000229687	0	0	0	0	0	0
ENSG00000058799	994	1161	776	651	567	532
ENSG00000211452	57	57	32	77	30	40
ENSG00000081870	663	560	396	1054	937	817
ENSG00000116212	1653	1652	1119	1499	1239	1298
ENSG00000219102	7	11	3	16	20	22
ENSG00000203985	393	378	259	88	119	95
ENSG00000116209	3984	3822	2707	3233	2550	2652
ENSG00000280378	4	8	1	0	4	0
ENSG00000116205	315	411	314	494	562	405
ENSG00000283749	0	0	0	0	0	0
ENSG00000225183	0	0	0	1	0	0
ENSG00000279049	0	0	0	0	0	0
ENSG00000256407	0	0	0	0	0	0
ENSG00000157211	0	0	0	0	0	0
ENSG00000280425	0	0	0	0	0	0
ENSG00000215883	294	344	257	311	448	255
ENSG00000116221	4533	5282	3668	5922	4752	4844
ENSG00000157216	1043	1113	846	1561	1149	1179
ENSG00000198711	4	4	1	1	2	0
ENSG00000225632	0	0	0	0	0	0
ENSG00000232245	0	0	0	0	0	0
ENSG00000287582	0	0	0	0	0	0
ENSG00000235741	0	0	0	0	0	0
ENSG00000237173	0	0	0	0	0	0
ENSG00000227453	0	0	0	0	0	0
ENSG00000162390	131	185	117	178	168	169
ENSG00000162391	1	0	0	5	4	6
ENSG00000230728	0	0	0	0	0	0
ENSG00000184313	0	0	0	0	0	0
ENSG00000271723	0	0	0	0	0	0
ENSG00000243725	19	13	8	20	19	17
ENSG00000162396	221	332	205	245	224	201
ENSG00000006555	0	0	0	0	0	0
ENSG00000237453	0	0	0	0	0	0
ENSG00000162398	0	0	0	0	0	0
ENSG00000116133	30908	37510	26220	51370	21151	42736
ENSG00000287724	0	5	3	6	2	2
ENSG00000242396	0	4	0	1	1	2
ENSG00000233203	2	8	13	2	2	0
ENSG00000284601	0	0	0	0	0	0
ENSG00000143001	0	0	0	0	0	0
ENSG00000233271	0	0	0	0	0	0
ENSG00000162399	0	0	1	0	0	0
ENSG00000169174	1666	1783	1314	12378	2022	13417
ENSG00000162402	4134	4306	3144	4329	3687	3197
ENSG00000231090	1	0	0	0	0	0
ENSG00000231095	0	0	0	0	0	0
ENSG00000265822	0	0	0	0	0	0
ENSG00000234810	0	0	0	1	0	0
ENSG00000231900	0	0	0	0	0	0
ENSG00000232198	0	0	0	0	0	0
ENSG00000199831	0	0	0	0	0	0
ENSG00000252162	0	0	0	0	0	0
ENSG00000272051	0	0	0	0	0	0
ENSG00000233079	0	0	0	0	0	0
ENSG00000230250	0	0	0	0	0	0
ENSG00000227104	0	0	0	0	0	0
ENSG00000235612	0	0	0	0	0	0
ENSG00000260971	6	0	4	1	0	0
ENSG00000284686	13	6	6	1	0	2
ENSG00000229871	0	0	0	0	0	0
ENSG00000223956	20	34	19	11	13	7
ENSG00000162407	1415	1509	1127	1743	1247	1500
ENSG00000236776	0	0	0	0	0	0
ENSG00000224980	0	0	0	0	0	0
ENSG00000225475	0	0	0	0	1	0
ENSG00000162409	1992	2053	1666	1075	1014	646
ENSG00000187889	145	123	117	137	218	74
ENSG00000229913	0	0	0	0	0	0
ENSG00000157131	414	423	255	1362	921	1067
ENSG00000021852	380	270	167	235	233	189
ENSG00000236341	0	1	0	0	0	0
ENSG00000173406	0	4	6	1	0	1
ENSG00000227935	0	0	0	0	0	0
ENSG00000236888	0	0	0	0	0	0
ENSG00000226759	0	0	0	0	0	0
ENSG00000229887	0	0	0	0	0	0
ENSG00000223416	1	0	0	1	0	0
ENSG00000235038	0	0	0	0	0	0
ENSG00000230546	0	0	0	0	0	0
ENSG00000233216	0	0	0	0	0	0
ENSG00000162600	287	360	305	235	248	173
ENSG00000286918	0	1	0	0	0	0
ENSG00000270209	0	0	0	0	0	0
ENSG00000264128	0	0	0	0	0	0
ENSG00000184292	0	0	0	0	0	1
ENSG00000185839	2	4	1	2	1	6
ENSG00000162601	2341	1956	1495	1543	2748	992
ENSG00000283445	1	0	0	1	0	0
ENSG00000177606	4988	4003	2998	608	480	650
ENSG00000234807	8	9	2	2	1	3
ENSG00000272226	0	0	3	0	1	0
ENSG00000231740	0	0	0	0	0	0
ENSG00000232453	16	17	10	0	3	2
ENSG00000237352	0	0	0	0	0	0
ENSG00000228121	0	0	0	1	0	1
ENSG00000241042	0	0	0	0	0	0
ENSG00000235215	0	0	0	0	0	0
ENSG00000224609	22	29	17	11	39	10
ENSG00000270457	0	0	1	1	1	0
ENSG00000172456	254	257	187	337	256	336
ENSG00000266150	0	0	0	0	0	0
ENSG00000226883	0	0	1	0	0	0
ENSG00000134709	1301	1362	1225	1758	1635	1234
ENSG00000134716	22	35	30	97	104	87
ENSG00000265535	0	0	0	0	0	0
ENSG00000162598	0	0	0	0	0	0
ENSG00000229332	0	0	0	0	0	0
ENSG00000238242	0	0	0	0	0	0
ENSG00000226476	2	8	2	0	0	1
ENSG00000231252	0	0	0	0	0	0
ENSG00000162599	1005	1207	836	637	613	471
ENSG00000237928	11	4	2	0	0	0
ENSG00000237853	0	0	0	0	0	0
ENSG00000284808	0	0	0	0	0	0
ENSG00000287224	0	0	0	0	0	0
ENSG00000223920	0	0	0	0	0	0
ENSG00000162604	628	588	394	463	396	410
ENSG00000271200	2	0	2	3	6	1
ENSG00000132849	1125	779	558	650	422	501
ENSG00000200575	0	0	0	0	0	0
ENSG00000212360	0	0	0	0	1	0
ENSG00000236646	0	0	0	0	0	0
ENSG00000242860	0	0	0	0	0	0
ENSG00000263908	0	0	0	0	0	0
ENSG00000283690	0	0	0	0	0	0
ENSG00000234204	0	0	0	0	0	0
ENSG00000234088	0	0	0	0	0	0
ENSG00000240563	0	0	0	0	1	0
ENSG00000237227	0	0	0	0	0	0
ENSG00000200174	0	0	0	0	0	0
ENSG00000132854	103	136	139	753	441	654
ENSG00000201153	0	0	0	0	0	0
ENSG00000162607	2275	3148	2433	4602	3494	3402
ENSG00000116641	2807	2640	1920	3901	2822	3031
ENSG00000270549	0	0	0	0	0	0
ENSG00000132855	26	18	7	7	5	2
ENSG00000278967	1	4	2	0	0	0
ENSG00000213703	4	4	0	0	1	0
ENSG00000235545	19	6	11	9	18	15
ENSG00000125703	346	415	325	419	362	277
ENSG00000234318	0	1	0	1	0	2
ENSG00000237163	0	0	0	0	0	0
ENSG00000229537	0	0	0	0	0	0
ENSG00000286455	0	0	0	0	0	0
ENSG00000227485	0	0	0	0	0	0
ENSG00000229225	0	0	0	0	0	0
ENSG00000203605	0	0	0	0	0	0
ENSG00000224209	0	0	0	0	0	0
ENSG00000252259	0	0	0	0	0	0
ENSG00000228734	0	0	0	0	0	0
ENSG00000223683	0	0	0	0	0	0
ENSG00000230798	0	0	0	0	0	0
ENSG00000187140	0	0	0	0	0	0
ENSG00000275836	0	0	0	0	0	0
ENSG00000252784	0	0	0	0	0	0
ENSG00000236674	0	0	0	0	0	0
ENSG00000088035	235	379	326	349	350	213
ENSG00000142856	589	663	505	1144	1134	838
ENSG00000286429	0	0	0	0	0	0
ENSG00000203965	163	216	162	225	228	160
ENSG00000264271	0	0	0	0	0	0
ENSG00000251720	0	0	0	0	0	0
ENSG00000116652	1	5	6	2	12	2
ENSG00000276884	0	0	0	0	0	0
ENSG00000278287	0	0	0	0	0	0
ENSG00000277565	0	0	0	0	0	0
ENSG00000275823	0	0	0	0	0	0
ENSG00000277689	0	0	0	0	0	0
ENSG00000274199	0	0	0	0	0	0
ENSG00000244256	6	8	5	3	5	0
ENSG00000185483	8	4	0	12	12	21
ENSG00000177452	0	0	0	0	0	0
ENSG00000228056	0	0	0	0	0	0
ENSG00000207190	0	0	0	0	0	0
ENSG00000200508	0	0	0	0	0	0
ENSG00000223949	0	0	0	0	0	0
ENSG00000284928	0	0	0	0	0	0
ENSG00000177414	0	0	0	0	0	0
ENSG00000238653	0	0	0	0	0	0
ENSG00000158966	3	8	0	4	1	6
ENSG00000264470	0	0	0	0	0	0
ENSG00000162437	91	137	76	278	241	166
ENSG00000162434	3763	3493	2555	2609	2171	1924
ENSG00000234784	0	0	0	0	0	0
ENSG00000233877	0	0	0	0	0	0
ENSG00000226891	1	0	3	2	0	0
ENSG00000185031	0	0	0	0	0	0
ENSG00000272506	0	0	0	0	0	0
ENSG00000212257	0	0	0	0	0	0
ENSG00000265996	0	0	0	0	0	0
ENSG00000199135	0	0	0	0	0	0
ENSG00000235804	0	0	0	0	0	0
ENSG00000234496	0	0	0	0	0	0
ENSG00000162433	4711	4451	3459	6991	5851	5335
ENSG00000231622	0	0	0	0	0	0
ENSG00000116675	220	238	241	369	295	331
ENSG00000229294	0	0	0	0	0	0
ENSG00000234144	0	0	0	0	0	0
ENSG00000222624	0	0	0	0	0	0
ENSG00000213625	1682	1757	1271	1997	1763	1465
ENSG00000116678	127	134	151	470	365	309
ENSG00000237852	5	2	1	2	2	1
ENSG00000224570	0	0	0	0	0	0
ENSG00000285079	0	0	0	0	0	0
ENSG00000239319	0	0	0	0	0	0
